"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"9348",7448,"2a7b170c-3e55-49ea-8b42-8d9760d319f7","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","f5bc175f-480b-4ebb-b212-0143052dcc58","2019.08.02 Pinewood Assist with Loveland Fire","RESCUE","8/2/2019 7:43:00 PM",1,"YES",16,56,950,"","WILDERNESS","COUNTY",1,"HIKING",60,"MALE","POOR","UNKNOWN",1,-105.309048135,40.368064105
"9405",22484,"d3910101-71c3-437d-8f56-a27a853aced7","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","750af0bd-c4fc-4178-a65b-69f8598f0cc9","2022094","RESCUE","7/17/2022 10:29:00 PM",1,"YES",12,26,552,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",55,"MALE","","",0,-105.607,39.95367
"9470",1236,"1a8fb96c-a2e7-4e10-8826-1c600dd37c4e","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","10882427-7056-496d-926a-ad175ed6de9a","21P012290 Crater Lake Frozen Legs","RESCUE","9/11/2021 11:00:00 PM",1,"YES",11,27,200,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",55,"FEMALE","GOOD","UNKNOWN",1,-106.95832,39.09099
"9485",2109,"85ffae4f-3a30-41cb-8563-ab56b6aa22cf","3.0.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","ef99f54a-f727-4be5-9694-55c9883c276a","1999","RESCUE","6/20/2021 9:11:00 PM",1,"YES",7,18,0,"","WILDERNESS","NATIONAL_FOREST",1,"FOUR_WHEEL_DRIVING",14,"MALE","","",1,-106.70602,39.74285
"9490",20847,"92a74cd9-ba41-4d4f-8532-d1fb9c74f3e6","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","3a9d0647-d302-44c7-9314-20f872325b15","Missing 6yof - Berthoud","SEARCH","5/4/2022 2:06:00 AM",1,"YES",23,11,460,"","SUBURBAN","CITY",1,"CHILD_AGE_0-15",6,"FEMALE","UNKNOWN","UNKNOWN",1,-105.07883,40.3062100000001
"9492",22507,"0daaf4ef-fb8b-47b1-8d1e-8276d9d757de","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","f230a611-3c11-4168-8b3f-ca40c39e142f","2022117","RESCUE","8/14/2022 5:18:00 PM",1,"YES",12,72,600,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",60,"MALE","","",0,-105.584489043803,40.0781082529069
"9556",8962,"7d017cc3-12b1-4eb5-bc1b-e4828a72af66","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","339017ee-ba2c-4f28-b8a1-e6d032e007f4","01509","RESCUE","7/4/2020 6:40:00 PM",1,"YES",4,4,0,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",0,"FEMALE","UNKNOWN","UNKNOWN",1,-106.573540142,39.5790278710001
"9571",21110,"fc6fd664-3acb-416b-8edc-863038f6a3b9","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","a358688f-6e7f-4210-8195-f22b9736c19c","Mt. Margaret Missing 45 YOF","SEARCH","10/15/2022 3:37:00 AM",1,"YES",15,52,615,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",45,"","UNKNOWN","UNKNOWN",1,-105.537949321551,40.7796208474316
"9624",5149,"6c7b7626-50cc-4ed0-8a51-9536ab06b4bc","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","C47C7AF9-9797-43E4-9CB5-A6C09E28E482","00459","SEARCH","4/9/2018 4:35:00 AM",1,"YES",6,7,50,"","WILDERNESS","NATIONAL_FOREST",5,"FOUR_WHEEL_DRIVING",40,"FEMALE","GOOD","GOOD",5,-106.76776,39.6627700000001
"9690",1760,"230e6862-4886-4a24-80a9-1db6bf9e9a8f","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","e54a207d-7a5b-4940-aa3b-ebd14d6af7ca","21P013938 Rocky Fork Injured backpacker","RESCUE","10/16/2021 12:45:00 AM",1,"YES",10,67,120,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",56,"MALE","UNKNOWN","UNKNOWN",0,-106.78059,39.32557
"9715",20818,"b865aeb6-4ccc-430f-8be2-4bbefd39f134","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","037814d0-c100-40d2-84f5-bd9b2530a54f","Rawah Medical Carryout & Alert for Palisade Hiker","RESCUE","8/4/2021 7:02:00 PM",1,"YES",9,36,72,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",43,"FEMALE","UNKNOWN","UNKNOWN",0,-105.915478,40.65826
"9835",6220,"a7168c12-e5da-4b85-b40f-791abf34a2b2","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","189b51f1-7867-4475-b6a7-84cc38025810","Long Gulch TH","SEND_ACTIVATION","7/17/2019 8:23:00 PM",1,"YES",3,12,122,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",52,"MALE","GOOD","FAIR",1,-105.55,39.33
"9912",8438,"7b5f3da8-dbdb-4843-9bbd-adb09ebfa159","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","c029bcea-d49d-47e2-b031-bb2bf2fc4aba","CO Trail Exhausted Hiker","RESCUE","8/21/2020 11:10:00 PM",1,"YES",3,6,43,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",55,"FEMALE","GOOD","FAIR",1,-105.7271,39.37692
"9913",3575,"993e0ea2-5735-468d-8aac-4659f53dd1ca","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","060ea0a5-5d5a-4d3b-8c4e-f47914858c48","22P009985 Capitol Cliff Out","RESCUE","9/4/2022 7:45:00 PM",1,"YES",17,90,100,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",24,"MALE","FAIR","POOR",1,-107.07378,39.1607
"9914",6231,"e2db73f2-52ca-476e-9a86-b375ff5c52c6","2.1.0-MRA","Park_County_SAR","Rocky Mountain Region","2a21fed1-e4c6-47ad-8c61-c0a213fd88db","FR270 Walkaway","SEARCH","8/17/2019 12:32:00 AM",1,"YES",5,8,75,"","RURAL","NATIONAL_FOREST",1,"RUNAWAY",53,"FEMALE","FAIR","FAIR",1,-105.59,38.8800000000001
"9915",4608,"ee4805b6-0c6a-4519-8530-b8ad01c29a93","","Chaffee_County_SAR_North","Rocky Mountain Region","1CB09ADC-6520-47CE-955F-E0EE36288EF6","008-2018","RESCUE","5/15/2018 6:00:00 PM",1,"YES",9,6,53,"","WILDERNESS","BLM",1,"HIKING",53,"FEMALE","UNKNOWN","UNKNOWN",0,-106.12086,38.8465200000001
"9919",7442,"ca8c6107-b13f-40b4-aa06-53e10d147439","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","3C16A204-E234-44E0-87A4-E753C0AA54B5","01216","MEDICAL_AID","11/6/2019 8:31:00 PM",1,"YES",11,75,450,"","WILDERNESS","NATIONAL_FOREST",1,"HUNTING",70,"MALE","POOR","POOR",0,-106.596856979,39.6451653030001
"9931",20887,"d0937bba-02a6-462a-8bef-36d339c4c701","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","dcc551c1-bbf1-4267-9300-3deabe52a224","Wellington 86 yof Alheimers","SEARCH","7/29/2022 6:00:00 PM",0,"YES",0,0,0,"","SUBURBAN","CITY",1,"ALZHEIMERS/DEMENTIA",86,"FEMALE","UNKNOWN","UNKNOWN",1,-105.016273038935,40.683884993514
"9935",2579,"a0f01905-3d4c-4a77-976d-fdabe64993ac","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","178231a5-31bf-4947-8016-b23d42e7336e","2022.02.02","SEARCH","2/3/2022 12:34:00 AM",1,"YES",10,32,200,"","WILDERNESS","STATE",1,"SNOW_SKIING",49,"MALE","GOOD","GOOD",1,-105.19365,40.57879
"9978",4099,"af009e45-04f8-42a5-97b0-2ae225813890","","Fremont_SAR","Rocky Mountain Region","B9F14BAA-5D0C-4D47-88B3-0738C32C4DCD","2018-01","SEARCH","1/16/2018 1:00:00 AM",1,"YES",17,19,380,"","RURAL","CITY",1,"RUNAWAY",15,"FEMALE","FAIR","POOR",1,-105.01531,38.4358800000001
"9983",8344,"76041f2b-4237-41eb-af29-2509bd7d6755","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","9951a61b-c4d2-47de-9335-3278f761a415","2020 12 27_Missing Teen BOLO_Como","SEARCH","12/27/2020 1:30:00 PM",1,"YES",12,60,150,"","RURAL","NATIONAL_FOREST",1,"DRIVING",17,"MALE","GOOD","GOOD",1,-105.8971,39.2988
"9997",4345,"1b57b2b1-5510-4d1f-a476-31784b42d67d","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","47A06AC5-5EAD-4D97-8E7F-D736F1EE2AC9","Cross Creek Search Brad and Mallory","SEARCH","4/29/2018 11:15:00 PM",1,"YES",9,45,90,"","WILDERNESS","NATIONAL_FOREST",2,"SNOW_SKIING",26,"MALE","GOOD","GOOD",2,-106.422,39.5480000000001
"10055",8736,"4b8089cf-bf36-456b-a53f-93bae3612e42","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","f01cfa66-80b3-4b8b-bc60-27768de99733","02172020_1","SEARCH","2/17/2020 4:00:00 PM",1,"NO",4,40,300,"","RURAL","OTHER",1,"CHILD_AGE_0-15",12,"MALE","UNKNOWN","UNKNOWN",0,-104.754718692,39.152731977
"10059",6277,"978c1794-0fda-4c5e-afaa-734beb4b3b2b","2.1.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","94c47f2c-2a19-405f-a803-1461efb54945","834","SEARCH","1/23/2019 11:15:00 PM",1,"YES",11,66,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWMOBILING",24,"MALE","GOOD","GOOD",1,-106.229332836,39.5423131430001
"10068",3621,"d6303997-71c5-4edf-8eca-0e528e714ce2","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","4f61dcb0-856b-4f16-a179-8a681180c6ba","2022038","RESCUE","5/6/2022 9:00:00 PM",1,"YES",13,3,84,"","WILDERNESS","CITY",1,"BIKING",64,"FEMALE","","",0,-105.198039150543,39.9577380260899
"10125",21027,"8c01d813-e11b-4324-8757-41c53651d2eb","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","c7edcbaf-de9c-43d3-a6b8-ec337b89c63a","23P000601 Snowmass Out Of Bounds Skier","RESCUE","1/14/2023 10:15:00 PM",1,"YES",15,40,100,"AIRCRAFT-UAV","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",39,"MALE","UNKNOWN","UNKNOWN",1,-106.89524,39.1709
"10132",8292,"7f914c6e-d712-407d-a453-268b759bae23","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","032fc8fe-ec51-401f-8c35-48ae2733e2de","Slaughterhouse Gulch Overdue","SEARCH","12/13/2020 1:00:00 AM",1,"YES",7,42,36,"","RURAL","NATIONAL_FOREST",3,"FOUR_WHEEL_DRIVING",17,"MALE","GOOD","FAIR",3,-105.5609,39.4643
"10196",7356,"46dda04e-2ca2-4efa-a573-8d2c60fc0d7d","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","15D9A27B-E4D8-43B9-807D-A80228A73078","#01250 Potato Patch With Engine 2 Standby","RESCUE","11/27/2019 12:30:00 AM",1,"YES",1,1,0,"","OTHER","NATIONAL_FOREST",1,"HIKING",31,"MALE","GOOD","FAIR",1,-106.39625,39.64502
"10203",3815,"58dca372-7d7e-443a-9ecb-542a5bd06911","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","5EFC9AC7-768B-44E7-84B3-8499FDB43BDF","00808","RESCUE","12/31/2018 7:00:00 PM",1,"YES",8,40,50,"","WILDERNESS","NATIONAL_FOREST",1,"SNOWMOBILING",24,"FEMALE","GOOD","UNKNOWN",0,-106.28921,39.5580600000001
"10261",3761,"f002a127-19fd-46be-a809-a1c1020d0075","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","87F8A3C1-4F2F-477A-8D88-8D2A0C52743D","2018-04","SEARCH","5/9/2018 4:17:00 PM",1,"NO",3,39,180,"","RURAL","NATIONAL_FOREST",1,"HIKING",71,"MALE","FAIR","FAIR",0,-107.67146,38.0248
"10265",5679,"69a9443f-d94a-4ede-a978-5ec1c61f8117","","Chaffee_County_SAR_North","Rocky Mountain Region","FE515ED6-E6F7-436C-8E7F-423839A24BB7","038-2018","RESCUE","8/28/2018 5:20:00 PM",1,"YES",10,48,182,"","WILDERNESS","NATIONAL_FOREST",2,"HIKING",27,"MALE","UNKNOWN","UNKNOWN",2,-106.28686,38.9097100000001
"10269",4502,"a81f4f4b-c99c-45cd-bc46-2902882cc19f","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","7EF224B0-4092-415C-8109-6C4879AFF1CD","00448","RESCUE","3/18/2018 8:45:00 PM",1,"YES",7,49,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",57,"MALE","UNKNOWN","UNKNOWN",0,-106.28728,39.49487
"10270",20830,"79e7abda-574b-4238-85d7-4f76d1d4c426","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","00a767e6-aff9-4653-ae90-3105666287e8","Bailey County SARDOC Assist to Park County SAR","SEARCH","10/19/2021 5:21:00 PM",1,"NO",3,12,556,"","RURAL","OTHER",1,"CHILD_AGE_0-15",9,"MALE","UNKNOWN","UNKNOWN",1,-105.47778,39.4063
"10331",4107,"7a684593-e72b-4147-b028-d0eac40088cf","","Fremont_SAR","Rocky Mountain Region","F61B0D8A-9423-4249-80B6-BF85E63873A5","2018-09","SEARCH","3/17/2018 7:00:00 PM",1,"YES",16,92,320,"","RURAL","PRIVATE",1,"RUNAWAY",36,"FEMALE","UNKNOWN","UNKNOWN",1,-105.14836,38.3846100000001
"10332",21173,"d45a1fab-147c-4570-8938-6912b8c69bcb","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","c0d9c719-d844-4235-99fb-68bb462e2c5b","2022-24","RESCUE","6/19/2022 7:00:00 PM",1,"YES",12,60,200,"AIRCRAFT-HELICOPTER","WILDERNESS","BLM",1,"HIKING",70,"MALE","GOOD","FAIR",1,-105.25583,38.2663900000001
"10339",22599,"f47faf0c-17c1-49a4-850e-f66d189305b4","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","e455fac5-ec1b-4bad-8923-ee8a7cd96082","20230315 McCurdy Search","RESCUE","3/16/2023 12:46:00 AM",2,"YES",16,200,480,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",2,"CAMPING",34,"MALE","GOOD","GOOD",1,-105.44407,39.22435
"10409",22613,"71736b31-a76d-43ab-833e-7fca55253582","3.0.0-MRA","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","f0d80ea1-5f20-441e-be14-5f1be01412a6","22-06","RESCUE","7/9/2022 12:52:00 AM",1,"YES",6,57,132,"","WILDERNESS","NATIONAL_FOREST",1,"OHV/ATV",50,"MALE","POOR","GOOD",0,-106.46458,38.56486
"10411",1720,"1f780730-05ec-47f8-8adf-9a60d0a0c1ff","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","77ace333-d025-47d7-93f9-a9a7e56a84b7","20211006 Mt Bross Motorist Assist","RESCUE","10/10/2021 12:15:00 AM",2,"YES",4,31,36,"","WILDERNESS","NATIONAL_FOREST",3,"OHV/ATV",32,"MALE","FAIR","POOR",3,-106.10158,39.32902
"10419",5135,"8d55e990-58ce-40f2-8af0-14d7444f98e4","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","CE4CE949-FB4E-4D86-806B-906D13394418","00608","SEARCH","8/6/2018 10:30:00 PM",1,"YES",11,71,80,"AIRCRAFT-HELICOPTER","WILDERNESS","BLM",2,"HIKING",25,"MALE","EXCELLENT","GOOD",2,-106.56861,39.4981500000001
"10481",8739,"75b7b8df-7e92-41c2-a0a6-dfddd6d723bb","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","a35737f0-08cd-4e40-946e-1b45791b17b2","05042020_1","SWIFTWATER_RESCUE","2/4/2020 1:30:00 PM",1,"NO",8,25,100,"","RURAL","STATE",1,"SWIMMING",30,"MALE","UNKNOWN","UNKNOWN",1,-105.370427999,38.4896620440001
"10488",2622,"4e60db31-3450-48ee-8d67-c43c20b43c8d","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","d8a8fc92-cb76-41e6-920f-d3a78b4a3e1b","Webster Pass Rd ","RESCUE","5/23/2021 1:11:00 AM",1,"YES",5,35,275,"","RURAL","NATIONAL_FOREST",3,"FOUR_WHEEL_DRIVING",42,"MALE","GOOD","POOR",3,-105.8164,39.4981
"10490",4897,"02858ad3-8195-4e88-83e4-629022d404a6","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","9AE3E22E-F16E-4AB8-8696-427A769E55A2","00778","RESCUE","12/21/2018 12:00:00 AM",1,"YES",7,77,0,"","WILDERNESS","BLM",5,"SNOW_SKIING",18,"MALE","UNKNOWN","UNKNOWN",5,-106.273,39.3920000000001
"10558",2098,"e8590a80-e64c-4f49-87f3-4fb3863e396f","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","c9c60a5d-1fc5-441f-9634-7065c1f7e7c1","09212021_1","SEARCH","9/21/2021 9:00:00 PM",1,"YES",3,3,0,"","RURAL","PRIVATE",1,"HIKING",66,"FEMALE","UNKNOWN","UNKNOWN",1,-105.382010699462,38.4358915375136
"10563",10754,"8e7d3afe-f106-41f4-8935-b27e7aa4bf56","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","ae7dbecb-01ae-4183-a5f3-423a2e79b8ec","040621 Hoosier Pass Distressed Hikers","RESCUE","4/6/2021 11:30:00 PM",1,"YES",7,21,140,"","RURAL","NATIONAL_FOREST",2,"HIKING",33,"FEMALE","FAIR","POOR",1,-106.0644,39.3608
"10568",9094,"9dee2af3-8312-4e81-9e6b-3b5f792ee429","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","cc544805-5926-4fee-b64f-46f47e6bde84","2020-044","SEARCH","6/15/2020 8:30:00 PM",1,"YES",11,4,29,"","SUBURBAN","COUNTY",1,"ALZHEIMERS_DEMENTIA",77,"FEMALE","","",1,-105.0118433,39.5560331
"10615",3523,"1c363c6f-19b0-4eb2-804c-b98b9133ac91","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","265a22f2-e455-4f94-af34-e4ca999bfa8d","22P008752 Ute Trail Ankle","RESCUE","8/7/2022 8:00:00 PM",1,"YES",17,65,50,"","RURAL","NATIONAL_FOREST",1,"HIKING",45,"MALE","UNKNOWN","UNKNOWN",0,-106.81639,39.17583
"10636",22470,"49633f7a-255d-4a7f-8625-02b4bf7dc558","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","29d6a102-eb0b-4366-89ef-679c29c7ad02","2022080","RESCUE","7/3/2022 8:01:00 PM",1,"NO",13,260,689,"","WILDERNESS","NATIONAL_FOREST",1,"MOUNTAINEERING",34,"MALE","","",1,-105.634515517954,40.0883711551313
"10640",20761,"393c659f-cbb1-463c-86ed-28c8d0e0e71b","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","635e3f98-be72-46eb-ab5b-5a0250aa21df","Sunrise Ranch Missing Female","SEARCH","3/29/2021 10:30:00 PM",2,"YES",17,120,420,"","RURAL","PRIVATE",1,"HIKING",25,"FEMALE","UNKNOWN","UNKNOWN",0,-105.21968,40.4481000000001
"10698",7883,"7fd7044b-4211-408b-bd6e-26c954716624","2.1.1-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","3b619f20-2d50-4353-94df-614c3bc4532d","01339","MEDICAL_AID","2/3/2020 9:53:00 PM",1,"YES",8,80,90,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",64,"MALE","GOOD","GOOD",0,-106.364217373,39.6922175030001
"10710",6632,"7e27d5fd-b4af-435b-aef2-19caab49d7a6","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","05e84bdc-8652-440c-91a5-845006c8aea2","2018.08.16 Lory SP carryout","RESCUE","8/16/2018 3:43:00 PM",1,"YES",9,14,135,"","WILDERNESS","STATE",1,"HIKING",70,"MALE","","",0,-105.177960922,40.5760653570001
"10776",6483,"1e53dad3-518d-4d5f-8a76-61ca846b914c","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","dcdac84a-fdf2-4ca1-8802-801f777e682c","2019.12.29 Estes Park lost wedding attendee","SEARCH","12/29/2019 10:00:00 AM",1,"YES",7,28,600,"","RURAL","PRIVATE",1,"OTHER",29,"MALE","","",1,-105.566956773,40.3415897570001
"10779",22633,"c9c94491-80b4-440f-80a3-b8d3181b7b70","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","371a6e39-b672-4381-b701-2c57a2f6e174","2022158","RESCUE","10/16/2022 3:56:00 PM",1,"YES",10,5,96,"","WILDERNESS","CITY",1,"HIKING",63,"FEMALE","","",0,-105.29714416027,40.0692143453856
"10828",7416,"4179542d-b7ba-4c20-92d6-e7e893684aa3","","Fremont_SAR","Rocky Mountain Region","37AAFB82-A398-4876-8C30-5C70F8BF4BEE","2019-11","SEARCH","4/26/2019 5:00:00 PM",1,"YES",15,15,225,"","SUBURBAN","PRIVATE",1,"ALZHEIMERS_DEMENTIA",70,"FEMALE","POOR","POOR",1,-105.19563,38.4661600000001
"10834",22662,"9ab7467e-0ec2-4b48-837d-032ece66cd87","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","8d60c5d5-5774-4359-9779-c440828bf672","2023008","RESCUE","3/5/2023 10:28:00 PM",1,"YES",16,20,260,"","WILDERNESS","STATE",1,"HIKING",27,"FEMALE","","",0,-105.294207898137,39.9256927848434
"10860",4611,"30c0dae5-aeeb-4afc-9a73-4e49ce530ff1","","Chaffee_County_SAR_North","Rocky Mountain Region","FEF7126F-4953-4961-A7E2-ED24CDF6BDC5","009-2018","RESCUE","5/25/2018 5:10:00 PM",1,"YES",7,9,35,"","WILDERNESS","BLM",1,"FOUR_WHEEL_DRIVING",38,"MALE","UNKNOWN","UNKNOWN",0,-106.01473,38.80049
"10861",7365,"17a104f2-6c9e-4ec9-bd77-a55c2a5daaac","","West_State_Colorado_U_Mtn_Resc","Rocky Mountain Region","A7A6BBB1-7B35-4D9C-8579-E7737B0E56CA","19-04","RESCUE","4/13/2019 11:16:00 PM",1,"YES",8,80,48,"","WILDERNESS","BLM",1,"SNOW_SKIING",38,"MALE","GOOD","GOOD",0,-106.59971,38.67924
"10893",1193,"fe15c748-63bf-408f-8bfd-ea4453e2e394","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","d1da8d2e-ca77-4fb3-b228-c1dca068569f","20211008-C","SEARCH","8/10/2021 9:25:00 PM",1,"YES",16,16,150,"","RURAL","NATIONAL_FOREST",1,"OHV/ATV",80,"MALE","UNKNOWN","UNKNOWN",1,-105.7599,39.4328
"10903",22513,"c2b34747-027a-4807-8344-24a70bc91335","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","b1d63585-317d-4dcb-9149-3536355bae86","2022123","RESCUE","8/17/2022 7:01:00 PM",1,"YES",10,14,134,"","WILDERNESS","CITY",1,"HIKING",61,"FEMALE","","",0,-105.306110227936,40.0359530489416
"10973",8959,"30e89c96-388c-4d2c-8655-a0d47c7f989c","2.2.0-MRA","Vail_Mtn_Rescue_Group","Rocky Mountain Region","c460fda9-adeb-4d49-af43-4b6fe566219f","01310","SEARCH","1/12/2021 1:30:00 PM",1,"YES",8,76,0,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",52,"MALE","UNKNOWN","UNKNOWN",1,-106.28337482,39.4964030470001
"10980",4133,"bf2f4cf6-9c21-4a07-96aa-0842c93f5473","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","C90C57EC-ACDD-4300-8D9B-E8B145FCB4B1","375","SEARCH","2/4/2018 7:00:00 PM",1,"YES",13,55,50,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SHOEING",26,"MALE","GOOD","GOOD",1,-106.47189,39.5923700000001
"10993",6042,"fd02927a-ecc1-48c8-b81f-de924354cefb","","Larimer_County_SAR","Rocky Mountain Region","5A89B817-EE7D-409E-8EE5-72D44ED360FC","2019.03.10 Cloverleaf missing child","SEARCH","3/10/2019 7:01:00 PM",1,"YES",24,33,480,"AIRCRAFT-UAV","SUBURBAN","PRIVATE",1,"CHILD_AGE_0-15",2,"MALE","UNKNOWN","POOR",1,-104.99546,40.58133
"11108",7336,"99aed22c-75d1-49f4-94f2-0cb655393751","","Fremont_SAR","Rocky Mountain Region","8D09495B-8F95-415D-892D-261767244DC3","2019-7","SEARCH","4/16/2019 5:00:00 PM",1,"NO",3,30,150,"AIRCRAFT-HELICOPTER","WILDERNESS","MILITARY",1,"OTHER",25,"FEMALE","GOOD","FAIR",0,-104.74511,38.4434800000001
"11110",8747,"3b656f64-1162-4a78-a42f-aaf8b96309f1","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","17c5284c-b576-43f4-b1eb-d72aa0a6f1f1","05232020_1","SEARCH","5/23/2020 10:00:00 PM",1,"YES",4,16,20,"","WILDERNESS","NATIONAL_FOREST",1,"HIKING",39,"MALE","POOR","POOR",1,-105.335277469,38.5374627640001
"11133",20996,"3f08c186-7442-4fdf-8627-077a258c474f","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","fb3257d4-c6fc-4995-8025-548537884569","2022070","RESCUE","6/21/2022 1:52:00 AM",1,"YES",7,77,385,"","WILDERNESS","NATIONAL_FOREST",3,"HIKING",36,"MALE","","",3,-105.68869405159,40.007147056865
"11265",7130,"8f05497f-f5df-4f77-951e-cb96a402a0ca","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","28FCA52C-3C2A-4041-87B6-6CE34C3B112F","#00853","RESCUE","2/4/2019 2:29:00 PM",1,"YES",7,56,120,"","WILDERNESS","NATIONAL_FOREST",1,"SNOW_SKIING",39,"MALE","GOOD","GOOD",0,-106.29692,39.3839800000001
"11266",9051,"86b6e451-73ac-4d7f-954d-a35c932e3908","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","3e50fdfc-3a55-4cd6-adb6-8132bf8d42c6","2020-003","SEARCH","1/19/2020 3:14:00 AM",1,"YES",15,40,337,"","RURAL","NATIONAL_FOREST",1,"HIKING",43,"MALE","","",1,-105.1239659,39.3168871
"11278",22527,"5f44b247-7b41-4cc4-879c-a8a70c269601","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","3e382596-e503-45d0-9832-cc639263f69b","2022132","RESCUE","9/5/2022 4:21:00 PM",1,"YES",10,9,60,"","WILDERNESS","CITY",1,"HIKING",50,"MALE","","",0,-105.287931,39.9938
"11352",21004,"0db0085b-2690-4a3e-897f-483c545584a8","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","0677ded4-e03b-483d-8981-b4d27ad28e8f","2022078","RESCUE","6/27/2022 4:12:00 PM",1,"YES",6,22,36,"","WILDERNESS","CITY",1,"CLIMBING",41,"FEMALE","","",1,-105.293904428969,39.9912205966584
